居る,い[る-
抑える,お[さえ]る
押さえる,お[さえ]る
納める,お[さめ]る
収める,お[さめ]る
恐れる,お[それ]る
覚える,お[ぼえ]る
思える,お[もえ]る
隠れる,か[くれ]る
数える,か[ぞえ]る
叶える,か[なえ]る
被せる,か[ぶせ]る
被れる,か[ぶれ]る
構える,か[まえ]る
着替える,き[がえ]る
鍛える,き[たえ]る
くじける,く[じけ]る
崩れる,く[ずれ]る
砕ける,く[だけ]る
こじれる,こ[じれ]る
応える,こ[たえ]る
答える,こ[たえ]る
こぼれる,こ[ぼれ]る
堪える,こ[らえ]る
壊れる,こ[われ]る
栄える,さ[かえ]る
授ける,さ[ずけ]る
定める,さ[だめ]る
仕上げる,し[あげ]る
仕入れる,し[いれ]る
仕掛ける,し[かけ]る
仕立てる,し[たて]る
躾ける,し[つけ]る
痺れる,し[びれ]る
調べる,し[らべ]る
信じる,し[んじ]る
優れる,す[ぐれ]る
済ませる,す[ませ]る
擦りむく,す[りむ]く
育てる,そ[だて]る
備える,そ[なえ]る
聳える,そ[びえ]る
揃える,そ[ろえ]る
存じる,ぞ[んじ]る
倒れる,た[おれ]る
高める,た[かめ]る
助ける,た[すけ]る
訪ねる,た[ずね]る
尋ねる,た[ずね]る
例える,た[とえ]る
束ねる,た[ばね]る
千切れる,ち[ぎれ]る
仕える,つ[かえ]る
疲れる,つ[かれ]る
務める,つ[とめ]る
努める,つ[とめ]る
勤める,つ[とめ]る
強める,つ[よめ]る
連ねる,つ[らね]る
手掛ける,て[がけ]る
咎める,と[がめ]る
途切れる,と[ぎれ]る
途絶える,と[だえ]る
届ける,と[どけ]る
留める,と[どめ]る
唱える,と[なえ]る
惚ける,と[ぼけ]る
捕らえる,と[らえ]る
取られる,と[られ]る
蕩ける,と[ろけ]る
眺める,な[がめ]る
流れる,な[がれ]る
名付ける,な[づけ]る
怠ける,な[まけ]る
捩じれる,ね[じれ]る
逃れる,の[がれ]る
離れる,は[なれ]る
早める,は[やめ]る
控える,ひ[かえ]る
率いる,ひ[きい]る
ひそめる,ひ[そめ]る
広める,ひ[ろめ]る
深める,ふ[かめ]る
含める,ふ[くめ]る
ふざける,ふ[ざけ]る
踏まえる,ふ[まえ]る
隔てる,へ[だて]る
解ける,ほ[どけ]る
滅びる,ほ[ろび]る
ぼやける,ぼ[やけ]る
任せる,ま[かせ]る
紛れる,ま[ぎれ]る
交える,ま[じえ]る
待たせる,ま[たせ]る
乱れる,み[だれ]る
目覚める,め[ざめ]る
儲ける,も[うけ]る
設ける,も[うけ]る
もたれる,も[たれ]る
用いる,も[ちい]る
求める,も[とめ]る
休める,や[すめ]る
破れる,や[ぶれ]る
委ねる,ゆ[だね]る
夢見る,ゆ[めみ]る
緩める,ゆ[るめ]る
よろける,よ[ろけ]る
弱める,よ[わめ]る
分かれる,わ[かれ]る
別れる,わ[かれ]る
湧き出る,わ[きで]る
言い換える,い[いか]える
面倒を見る,め[んど]うをみる
仰ぎ見る,あ[おぎみ]る
諦める,あ[きらめ]る
温める,あ[たため]る
暖める,あ[たため]る
誂える,あ[つらえ]る
当てはめる,あ[てはめ]る
改める,あ[らため]る
現れる,あ[らわれ]る
ありふれる,あ[りふれ]る
言いつける,い[いつけ]る
生き延びる,い[きのび]る
戒める,い[ましめ]る
受け入れる,う[けいれ]る
受け付ける,う[けつけ]る
受け止める,う[けとめ]る
打ち明ける,う[ちあけ]る
打ち上げる,う[ちあげ]る
訴える,う[ったえ]る
埋め立てる,う[めたて]る
売り切れる,う[りきれ]る
追い掛ける,お[いかけ]る
追い詰める,お[いつめ]る
押し込める,お[しこめ]る
押し寄せる,お[しよせ]る
訪れる,お[とずれ]る
衰える,お[とろえ]る
重んじる,お[もんじ]る
顧みる,か[えりみ]る
書き換える,か[きかえ]る
かき分ける,か[きわけ]る
片付ける,か[たづけ]る
傾ける,か[たむけ]る
考える,か[んがえ]る
聞き飽きる,き[きあき]る
傷つける,き[ずつけ]る
切り替える,き[りかえ]る
切り捨てる,き[りすて]る
切り分ける,き[りわけ]る
気をつける,き[をつけ]る
くたびれる,く[たびれ]る
組み換える,く[みかえ]る
組み立てる,く[みたて]る
苦しめる,く[るしめ]る
心得る,こ[ころえ]る
試みる,こ[ころみ]る
腰掛ける,こ[しかけ]る
言付ける,こ[とづけ]る
差し伸べる,さ[しのべ]る
妨げる,さ[またげ]る
据え付ける,す[えつけ]る
擦り抜ける,す[りぬけ]る
せき立てる,せ[きたて]る
蓄える,た[くわえ]る
確かめる,た[しかめ]る
食べ飽きる,た[べあき]る
戯れる,た[わむれ]る
抱き上げる,だ[きあげ]る
近付ける,ち[かづけ]る
ちりばめる,ち[りばめ]る
突き退ける,つ[きのけ]る
積み上げる,つ[みあげ]る
吊り下げる,つ[りさげ]る
照りつける,て[りつけ]る
出迎える,で[むかえ]る
問いかける,と[いかけ]る
整える,と[とのえ]る
飛び越える,と[びこえ]る
とらわれる,と[らわれ]る
取り入れる,と[りいれ]る
取り立てる,と[りたて]る
取り付ける,と[りつけ]る
取り混ぜる,と[りまぜ]る
取り寄せる,と[りよせ]る
慰める,な[ぐさめ]る
投げかける,な[げかけ]る
成し遂げる,な[しとげ]る
名乗り出る,な[のりで]る
抜きん出る,ぬ[きんで]る
乗り換える,の[りかえ]る
乗り越える,の[りこえ]る
乗り付ける,の[りつけ]る
はね上げる,は[ねあげ]る
張り上げる,は[りあげ]る
引き上げる,ひ[きあげ]る
引き受ける,ひ[きうけ]る
引き下げる,ひ[きさげ]る
引き止める,ひ[きとめ]る
引っ掛ける,ひ[っかけ]る
引っ込める,ひ[っこめ]る
踏み分ける,ふ[みわけ]る
ぶら下がる,ぶ[らさが]る
間違える,ま[ちがえ]る
免れる,ま[ぬがれ]る
見合わせる,み[あわせ]る
見極める,み[きわめ]る
耳慣れる,み[みなれ]る
申し出る,も[うしで]る
役立てる,や[くだて]る
やっつける,や[っつけ]る
やり遂げる,や[りとげ]る
和らげる,や[わらげ]る
寄せ付ける,よ[せつけ]る
呼び掛ける,よ[びかけ]る
呼び止める,よ[びとめ]る
読み上げる,よ[みあげ]る
言い聞かせる,い[いきかせ]る
痛めつける,い[ためつけ]る
動かされる,う[ごかされ]る
打ち合わせる,う[ちあわせ]る
推し進める,お[しすすめ]る
かけ離れる,か[けはなれ]る
語りかける,か[たりかけ]る
活気づける,か[っきづけ]る
築き上げる,き[ずきあげ]る
くぐり抜ける,く[ぐりぬけ]る
組み合わせる,く[みあわせ]る
繰り広げる,く[りひろげ]る
元気づける,げ[んきづけ]る
心掛ける,こ[ころがけ]る
差し支える,さ[しつかえ]る
招じ入れる,しょ[うじいれ]る
滑り落ちる,す[べりおち]る
備え付ける,そ[なえつけ]る
たくし上げる,た[くしあげ]る
楽しませる,た[のしませ]る
突き合わせる,つ[きあわせ]る
作り上げる,つ[くりあげ]る
付け加える,つ[けくわえ]る
問い合わせる,と[いあわせ]る
通り過ぎる,と[おりすぎ]る
通り抜ける,と[おりぬけ]る
取り調べる,と[りしらべ]る
