する,す[る-
削除する,[さ]くじょする
差別する,[さ]べつする
左右する,[さ]ゆうする
作用する,[さ]ようする
支援する,[し]えんする
支配する,[し]はいする
修理する,[しゅ]うりする
手術する,[しゅ]じゅつする
手術する,[しゅ]じゅつする
消去する,[しょ]うきょする
勝負する,[しょ]うぶする
賞味する,[しょ]うみする
勝利する,[しょ]うりする
処罰する,[しょ]ばつする
処分する,[しょ]ぶんする
進化する,[し]んかする
進歩する,[し]んぽする
審理する,[し]んりする
辞退する,[じ]たいする
重視する,[じゅ]うしする
従事する,[じゅ]うじする
準備する,[じゅ]んびする
譲歩する,[じょ]うほする
制御する,[せ]いぎょする
整備する,[せ]いびする
整理する,[せ]いりする
選挙する,[せ]んきょする
操作する,[そ]うさする
捜査する,[そ]うさする
組織する,[そ]しきする
退化する,[た]いかする
対処する,[た]いしょする
逮捕する,[た]いほする
着手する,[ちゃ]くしゅする
注意する,[ちゅ]ういする
調査する,[ちょ]うさする
調理する,[ちょ]うりする
定義する,[て]いぎする
手入れする,[て]いれする
手配する,[て]はいする
転居する,[て]んきょする
討議する,[と]うぎする
統治する,[と]うちする
動作する,[ど]うさする
読書する,[ど]くしょする
努力する,[ど]りょくする
廃棄する,[は]いきする
排除する,[は]いじょする
配慮する,[は]いりょする
拍手する,[は]くしゅする
暴露する,[ば]くろする
非難する,[ひ]なんする
避難する,[ひ]なんする
評価する,[ひょ]うかする
披露する,[ひ]ろうする
変化する,[へ]んかする
放置する,[ほ]うちする
融資する,[ゆ]うしする
用意する,[よ]ういする
擁護する,[よ]うごする
乱舞する,[ら]んぶする
理解する,[り]かいする
料理する,[りょ]うりする
論議する,[ろ]んぎする
アップする,[あ]っぷする
カットする,[か]っとする
ガイドする,[が]いどする
キャンプする,[きゃ]んぷする
コピーする,[こ]ぴーする
シュートする,[しゅ]ーとする
セットする,[せ]っとする
チェックする,[ちぇ]っくする
ノックする,[の]っくする
ヒットする,[ひ]っとする
挨拶する,[あ]いさつする
相通ずる,[あ]いつうずる
いがいがする,[い]がいがする
いらいらする,[い]らいらする
解釈する,[か]いしゃくする
介抱する,[か]いほうする
返ってくる,[か]えってくる
帰ってくる,[か]えってくる
看病する,[か]んびょうする
訓練する,[く]んれんする
決算する,[け]っさんする
決心する,[け]っしんする
航海する,[こ]うかいする
後悔する,[こ]うかいする
混雑する,[こ]んざつする
採決する,[さ]いけつする
催促する,[さ]いそくする
裁判する,[さ]いばんする
招待する,[しょ]うたいする
商売する,[しょ]うばいする
接待する,[せ]ったいする
通訳する,[つ]うやくする
当番する,[と]うばんする
討論する,[と]うろんする
どきどきする,[ど]きどきする
どぎまぎする,[ど]ぎまぎする
仲良くする,[な]かよくする
何とかする,[な]んとかする
にこにこする,[に]こにこする
忍耐する,[に]んたいする
判断する,[は]んだんする
売買する,[ば]いばいする
不自由する,[ふ]じゆうする
分別する,[ふ]んべつする
満足する,[ま]んぞくする
迷惑する,[め]いわくする
用心する,[よ]うじんする
アクセスする,[あ]くせすする
オーバーする,[お]ーばーする
オープンする,[お]ーぷんする
キャンセルする,[きゃ]んせるする
サービスする,[さ]ーびすする
シャンプーする,[しゃ]んぷーする
セックスする,[せ]っくすする
デッサンする,[で]っさんする
ニヤニヤする,[に]やにやする
アンケートする,[あ]んけーとする
インタビューする,[い]んたびゅーする
ダイエットする,[だ]いえっとする
サイクリングする,[さ]いくりんぐする
早期発見する,[そ]うきはっけんする
怪我する,け[が]する
指揮する,し[き]する
世話する,せ[わ]する
おしゃれする,お[しゃ]れする
苦心する,く[し]んする
化粧する,け[しょ]うする
耳にする,み[み]にする
おしゃべりする,お[しゃ]べりする
失礼する,し[つ]れいする
手探りする,て[さ]ぐりする
手助けする,て[だ]すけする
取引する,と[り]ひきする
乗り降りする,の[り]おりする
身動きする,み[う]ごきする
やりとりする,や[り]とりする
夜更かしする,よ[ふ]かしする
アレンジする,あ[れ]んじする
クリックする,く[り]っくする
スケッチする,す[け]っちする
スピーチする,す[ぴ]ーちする
チャレンジする,ちゃ[れ]んじする
一休みする,ひ[と]やすみする
不摂生する,ふ[せ]っせいする
リサイクルする,り[さ]いくるする
リラックスする,り[ら]っくすする
トレーニングする,と[れ]ーにんぐする
愛する,あ[いす]る
関する,か[んす]る
害する,が[いす]る
際する,さ[いす]る
称する,しょ[うす]る
制する,せ[いす]る
即する,そ[くす]る
属する,ぞ[くす]る
存ずる,ぞ[んず]る
対する,た[いす]る
題する,だ[いす]る
題する,だ[いす]る
適する,て[きす]る
博する,は[くす]る
反する,は[んす]る
面する,め[んす]る
有する,ゆ[うす]る
要する,よ[うす]る
田植えする,た[うえ]する
返事する,へ[んじ]する
案内する,あ[んな]いする
生き生きする,い[きい]きする
息抜きする,い[きぬ]きする
石投げする,い[しな]げする
居眠りする,い[ねむ]りする
うっとりする,う[っと]りする
がっかりする,が[っか]りする
再現する,さ[いげ]んする
さっぱりする,さ[っぱ]りする
証言する,しょ[うげ]んする
宣言する,せ[んげ]んする
断言する,だ[んげ]んする
長生きする,な[がい]きする
のんびりする,の[んび]りする
はっきりする,は[っき]りする
表現する,ひょ[うげ]んする
びっくりする,び[っく]りする
ほのぼのする,ほ[のぼ]のする
ゆっくりする,ゆ[っく]りする
ゆったりする,ゆ[った]りする
ニンマリする,に[んま]りする
朝寝坊する,あ[さね]ぼうする
雨宿りする,あ[まや]どりする
枝分かれする,え[だわ]かれする
お手伝いする,
肩代わりする,か[たが]わりする
金儲けする,か[ねも]うけする
勘違いする,か[んち]がいする
急停車する,きゅ[うて]いしゃする
逆輸入する,ぎゃ[くゆ]にゅうする
再起動する,さ[いき]どうする
遠回りする,と[おま]わりする
にらめっこする,に[らめ]っこする
立候補する,り[っこ]うほする
アナウンスする,あ[なう]んすする
チェックインする,ちぇ[っく]いんする
プロポーズする,ぷ[ろぽ]ーずする
マッサージする,ま[っさ]ーじする
一段落する,い[ちだ]んらくする
大喜びする,お[およ]ろこびする
シミュレーションする,し[みゅれ]ーしょんする
やって来る,や[ってく]る
宇宙旅行する,う[ちゅうりょ]こうする
インストールする,い[んすと]ーるする
コミュニケートする,こ[みゅにけ]ーとする
コントロールする,こ[んとろ]ーるする
ダウンロードする,だ[うんろ]ーどする
チェックアウトする,ちぇ[っくあ]うとする
ライトアップする,ら[いとあ]っぷする
受験勉強する,じゅ[けんべ]んきょうする
選挙演説する,せ[んきょえ]んぜつする
幼児扱いする,よ[うじあ]つかいする
追跡調査する,つ[いせきちょ]うさする
広報活動する,こ[うほうか]つどうする
実況中継する,じ[っきょうちゅ]うけいする
宣伝活動する,せ[んでんか]つどうする
