する,す[る-
輸送する,ゆ[そうする-
油断する,ゆ[だんする-
輸入する,ゆ[にゅうする-
由来する,ゆ[らいする-
予感する,よ[かんする-
預金する,よ[きんする-
予習する,よ[しゅうする-
予想する,よ[そうする-
予測する,よ[そくする-
予報する,よ[ほうする-
予防する,よ[ぼうする-
予約する,よ[やくする-
来社する,ら[いしゃする-
落下する,ら[っかする-
離婚する,り[こんする-
旅行する,りょ[こうする-
利用する,り[ようする-
老化する,ろ[うかする-
浪費する,ろ[うひする-
パンクする,ぱ[んくする-
ホッとする,ほ[っとする-
メールする,め[ーるする-
愛好する,あ[いこうする-
愛用する,あ[いようする-
悪用する,あ[くようする-
圧縮する,あ[っしゅくする-
斡旋する,あ[っせんする-
圧倒する,あ[っとうする-
圧迫する,あ[っぱくする-
暗殺する,あ[んさつする-
暗唱する,あ[んしょうする-
安心する,あ[んしんする-
安住する,あ[んじゅうする-
安定する,あ[んていする-
育成する,い[くせいする-
悪戯する,い[たずらする-
一見する,い[っけんする-
一変する,い[っぺんする-
印刷する,い[んさつする-
引退する,い[んたいする-
引用する,い[んようする-
打ち上げする,う[ちあげする-
運営する,う[んえいする-
運送する,う[んそうする-
運転する,う[んてんする-
運動する,う[んどうする-
運搬する,う[んぱんする-
運用する,う[んようする-
影響する,え[いきょうする-
営業する,え[いぎょうする-
閲覧する,え[つらんする-
演習する,え[んしゅうする-
演出する,え[んしゅつする-
演説する,え[んぜつする-
演奏する,え[んそうする-
延長する,え[んちょうする-
延命する,え[んめいする-
お祈りする,お[いのりする-
お祝いする,お[いわいする-
応援する,お[うえんする-
往診する,お[うしんする-
応対する,お[うたいする-
横断する,お[うだんする-
往復する,お[うふくする-
応用する,お[うようする-
お願いする,お[ねがいする-
お見合いする,お[みあいする-
開館する,か[いかんする-
改行する,か[いぎょうする-
解決する,か[いけつする-
開催する,か[いさいする-
解散する,か[いさんする-
改宗する,か[いしゅうする-
回収する,か[いしゅうする-
改修する,か[いしゅうする-
解消する,か[いしょうする-
解説する,か[いせつする-
改善する,か[いぜんする-
回送する,か[いそうする-
改造する,か[いぞうする-
開拓する,か[いたくする-
会談する,か[いだんする-
改築する,か[いちくする-
開通する,か[いつうする-
改定する,か[いていする-
回転する,か[いてんする-
回答する,か[いとうする-
解答する,か[いとうする-
開発する,か[いはつする-
回復する,か[いふくする-
解放する,か[いほうする-
開放する,か[いほうする-
解剖する,か[いぼうする-
解明する,か[いめいする-
買い物する,か[いものする-
解約する,か[いやくする-
回覧する,か[いらんする-
改良する,か[いりょうする-
拡散する,か[くさんする-
革新する,か[くしんする-
確信する,か[くしんする-
拡充する,か[くじゅうする-
拡大する,か[くだいする-
拡張する,か[くちょうする-
確定する,か[くていする-
獲得する,か[くとくする-
確認する,か[くにんする-
確立する,か[くりつする-
活動する,か[つどうする-
活躍する,か[つやくする-
活用する,か[つようする-
関係する,か[んけいする-
歓迎する,か[んげいする-
観光する,か[んこうする-
観察する,か[んさつする-
換算する,か[んさんする-
干渉する,か[んしょうする-
感心する,か[んしんする-
完成する,か[んせいする-
感染する,か[んせんする-
乾燥する,か[んそうする-
観測する,か[んそくする-
監督する,か[んとくする-
感動する,か[んどうする-
乾杯する,か[んぱいする-
勧誘する,か[んゆうする-
完了する,か[んりょうする-
関連する,か[んれんする-
外出する,が[いしゅつする-
外食する,が[いしょくする-
学習する,が[くしゅうする-
合掌する,が[っしょうする-
合奏する,が[っそうする-
合併する,が[っぺいする-
救援する,きゅ[うえんする-
休業する,きゅ[うぎょうする-
休憩する,きゅ[うけいする-
急減する,きゅ[うげんする-
吸収する,きゅ[うしゅうする-
休職する,きゅ[うしょくする-
休養する,きゅ[うようする-
教育する,きょ[ういくする-
供給する,きょ[うきゅうする-
恐縮する,きょ[うしゅくする-
共生する,きょ[うせいする-
競争する,きょ[うそうする-
共存する,きょ[うそんする-
協調する,きょ[うちょうする-
強調する,きょ[うちょうする-
共通する,きょ[うつうする-
