みっともない,み[っともな]い
もったいない,も[ったいな]い
よそよそしい,よ[そよそし]い
若々しい,わ[かわかし]い
煩わしい,わ[ずらわし]い
思い掛けない,お[もいがけ]ない
規則正しい,き[そくただし]い
規律正しい,き[りつただし]い
計算高い,け[いさんだか]い
面倒臭い,め[んどうくさ]い
申し訳ない,も[うしわけな]い
礼儀正しい,れ[いぎただし]い
面白おかしい,お[もしろおかし]い
